"State","Year","Unemployment_Rate","IPC_Index","Expansion"
1,2011,9,-5,0
1,2012,7.1,-6,0
1,2013,6.5,-6,0
1,2014,6.8,-6,0
1,2015,6.1,-5,0
1,2016,6,-5,0
1,2017,4.4,-6,0
1,2018,3.9,-5,0
1,2019,3.2,-5,0
2,2011,7.6,0,0
2,2012,6.9,-1,0
2,2013,6.5,-1,0
2,2014,6.9,-1,0
2,2015,6.5,0,1
2,2016,6.6,0,1
2,2017,7,-1,1
2,2018,6.6,0,1
2,2019,5.5,-2,1
4,2011,9.5,-3,0
4,2012,8.3,-3,0
4,2013,8,-3,0
4,2014,6.8,-3,1
4,2015,6.1,-4,1
4,2016,5.3,-4,1
4,2017,4.9,-5,1
4,2018,4.8,-4,1
4,2019,4.9,-4,1
5,2011,8,0,0
5,2012,7.5,0,0
5,2013,7.5,0,0
5,2014,6.1,0,1
5,2015,5.2,-1,1
5,2016,4,-1,1
5,2017,3.7,-2,1
5,2018,3.7,-1,1
5,2019,3.5,-1,1
6,2011,11.7,1,0
6,2012,10.4,1,0
6,2013,8.9,4,0
6,2014,7.5,4,1
6,2015,6.2,4,1
6,2016,5.4,4,1
6,2017,4.8,3,1
6,2018,4.2,3,1
6,2019,4.1,3,1
8,2011,8.3,-2,0
8,2012,7.8,-2,0
8,2013,6.8,0,0
8,2014,5,0,1
8,2015,3.9,0,1
8,2016,3.3,0,1
8,2017,2.7,-1,1
8,2018,3.3,0,1
8,2019,2.6,0,1
9,2011,8.8,-2,0
9,2012,8.3,-3,0
9,2013,7.8,0,0
9,2014,6.6,0,1
9,2015,5.6,1,1
9,2016,5.1,1,1
9,2017,4.7,0,1
9,2018,4.1,1,1
9,2019,3.5,1,1
10,2011,7.3,-3,0
10,2012,7.1,-3,0
10,2013,6.7,-3,0
10,2014,5.7,-3,1
10,2015,4.9,0,1
10,2016,4.4,0,1
10,2017,4.5,-1,1
10,2018,3.8,0,1
10,2019,3.7,0,1
11,2011,10.2,-1,0
11,2012,9.1,-2,0
11,2013,8.3,0,0
11,2014,7.8,0,1
11,2015,6.9,0,1
11,2016,6,0,1
11,2017,6.1,0,1
11,2018,5.6,1,1
11,2019,5.4,1,1
12,2011,10.5,-3,0
12,2012,8.8,-3,0
12,2013,7.2,-3,0
12,2014,6.3,-3,0
12,2015,5.4,-2,0
12,2016,4.9,-2,0
12,2017,4.2,-3,0
12,2018,3.6,-2,0
12,2019,3.2,-3,0
13,2011,9.8,-4,0
13,2012,9,-6,0
13,2013,8.2,-6,0
13,2014,7.1,-6,0
13,2015,5.9,-5,0
13,2016,5.4,-5,0
13,2017,4.7,-6,0
13,2018,3.9,-5,0
13,2019,3.6,-5,0
15,2011,6.7,0,0
15,2012,5.7,0,0
15,2013,4.8,0,0
15,2014,4.4,0,1
15,2015,3.6,1,1
15,2016,3,1,1
15,2017,2.4,0,1
15,2018,2.4,1,1
15,2019,2.5,1,1
16,2011,8.7,-2,0
16,2012,7.3,-2,0
16,2013,6.2,-2,0
16,2014,4.8,-2,0
16,2015,4.1,-1,0
16,2016,3.8,-1,0
16,2017,3.2,-2,0
16,2018,2.8,-3,0
16,2019,3,-3,0
17,2011,9.8,-1,0
17,2012,8.9,0,0
17,2013,9.2,2,0
17,2014,7.1,2,1
17,2015,5.9,2,1
17,2016,5.9,2,1
17,2017,4.9,2,1
17,2018,4.3,3,1
17,2019,4,1,1
18,2011,9,-5,0
18,2012,8.1,-5,0
18,2013,7.5,-5,0
18,2014,5.9,-5,0
18,2015,4.8,-4,1
18,2016,4.4,-4,1
18,2017,3.6,-5,1
18,2018,3.4,-4,1
18,2019,3.3,-4,1
19,2011,5.9,-2,0
19,2012,5.2,-3,0
19,2013,4.6,-3,0
19,2014,4.2,-3,1
19,2015,3.7,-2,1
19,2016,3.7,-2,1
19,2017,3.1,-3,1
19,2018,2.5,-3,1
19,2019,2.6,-3,1
20,2011,6.7,-2,0
20,2012,5.8,-2,0
20,2013,5.4,-3,0
20,2014,4.6,-3,0
20,2015,4.2,-2,0
20,2016,4.2,-2,0
20,2017,3.7,-3,0
20,2018,3.4,-2,0
20,2019,3.1,-2,0
21,2011,9.5,1,0
21,2012,8.3,1,0
21,2013,8.3,1,0
21,2014,6.5,1,1
21,2015,5.4,1,1
21,2016,5,1,1
21,2017,4.9,-1,1
21,2018,4.3,0,1
21,2019,4.1,1,1
22,2011,7.3,-2,0
22,2012,6.5,-2,0
22,2013,6.2,-2,0
22,2014,6.4,-2,0
22,2015,6.3,-1,0
22,2016,6.1,-3,1
22,2017,5.1,-4,1
22,2018,4.9,-3,1
22,2019,4.6,-3,1
23,2011,7.5,0,0
23,2012,7.2,-1,0
23,2013,6.7,-1,0
23,2014,5.6,-1,0
23,2015,4.4,0,0
23,2016,3.9,0,0
23,2017,3.4,-1,0
23,2018,3.4,0,0
23,2019,2.8,-2,1
24,2011,7,-2,0
24,2012,6.9,-2,0
24,2013,6.6,-1,0
24,2014,5.8,-1,1
24,2015,5.2,0,1
24,2016,4.3,0,1
24,2017,4.3,-1,1
24,2018,3.9,0,1
24,2019,3.4,0,1
25,2011,7.4,-3,0
25,2012,6.8,-2,0
25,2013,7.1,-2,0
25,2014,5.7,-2,1
25,2015,5,-2,1
25,2016,3.7,-2,1
25,2017,3.8,-2,1
25,2018,3.3,-2,1
25,2019,3.1,-2,1
26,2011,10.3,-1,0
26,2012,9.1,-2,0
26,2013,8.8,-2,0
26,2014,7.3,-2,1
26,2015,5.4,-1,1
26,2016,4.9,-1,1
26,2017,4.6,-4,1
26,2018,4.1,-3,1
26,2019,4.1,-3,1
27,2011,6.4,-1,0
27,2012,5.6,-2,0
27,2013,5.1,-2,0
27,2014,4.2,-2,1
27,2015,3.7,-1,1
27,2016,3.9,-1,1
27,2017,3.4,-2,1
27,2018,2.9,-3,1
27,2019,3.4,-3,1
28,2011,10.7,-2,0
28,2012,9.2,-2,0
28,2013,8.6,-3,0
28,2014,7.6,-3,0
28,2015,6.5,-2,0
28,2016,5.8,-2,0
28,2017,5.1,-4,0
28,2018,4.8,-3,0
28,2019,5.4,-3,0
29,2011,8.6,-2,0
29,2012,7,-2,0
29,2013,6.5,-2,0
29,2014,6.2,-2,0
29,2015,5,-1,0
29,2016,4.5,-1,0
29,2017,3.8,-2,0
29,2018,3.2,-1,0
29,2019,3.1,-3,0
30,2011,6.8,-1,0
30,2012,6,-1,0
30,2013,5.6,-1,0
30,2014,4.7,-1,0
30,2015,4.2,0,0
30,2016,4.1,0,1
30,2017,3.9,-1,1
30,2018,3.7,0,1
30,2019,3.6,-2,1
31,2011,4.4,-2,0
31,2012,4,-2,0
31,2013,3.9,-4,0
31,2014,3.3,-4,0
31,2015,3,-3,0
31,2016,3.2,-3,0
31,2017,2.9,-4,0
31,2018,2.8,-3,0
31,2019,3,-3,0
32,2011,13.5,0,0
32,2012,11.5,0,0
32,2013,9.8,2,0
32,2014,7.9,2,1
32,2015,6.7,1,1
32,2016,5.7,1,1
32,2017,5.1,0,1
32,2018,4.6,1,1
32,2019,4,1,1
33,2011,5.4,0,0
33,2012,5.5,-1,0
33,2013,5.3,-1,0
33,2014,4.3,-1,1
33,2015,3.4,0,1
33,2016,2.8,0,1
33,2017,2.7,-3,1
33,2018,2.5,-2,1
33,2019,2.6,-2,1
34,2011,9.3,-1,0
34,2012,9.3,-2,0
34,2013,8.2,-2,0
34,2014,6.7,-2,1
34,2015,5.6,-1,1
34,2016,5,-1,1
34,2017,4.6,-2,1
34,2018,4.1,-1,1
34,2019,3.4,1,1
35,2011,8.2,-1,0
35,2012,8.5,-1,0
35,2013,7.7,-1,0
35,2014,3.8,-1,1
35,2015,3.5,-1,1
35,2016,4.8,-1,1
35,2017,4.7,-2,1
35,2018,4.1,-1,1
35,2019,4.9,0,1
36,2011,7.4,-2,0
36,2012,7.1,-2,0
36,2013,6.9,-2,0
36,2014,6.3,-2,1
36,2015,5.3,-1,1
36,2016,6.7,-1,1
36,2017,5.9,-3,1
36,2018,4.9,-2,1
36,2019,3.8,1,1
37,2011,3.5,-2,0
37,2012,3,-2,0
37,2013,2.9,-2,0
37,2014,6.3,-2,0
37,2015,5.7,-2,0
37,2016,3.2,-3,0
37,2017,2.7,-3,0
37,2018,2.6,-3,0
37,2019,3.8,-3,0
38,2011,10.5,0,0
38,2012,9.2,-1,0
38,2013,8,-1,0
38,2014,2.7,-1,1
38,2015,2.7,0,1
38,2016,5.1,0,1
38,2017,4.5,-1,1
38,2018,3.9,-2,1
38,2019,2.1,-2,1
39,2011,8.6,-2,0
39,2012,7.4,-3,0
39,2013,7.4,-3,0
39,2014,5.8,-3,1
39,2015,4.9,-2,1
39,2016,4.9,-2,1
39,2017,5,-3,1
39,2018,4.6,-2,1
39,2019,4.2,-2,1
40,2011,6.2,-2,0
40,2012,5.4,-2,0
40,2013,5.4,-2,0
40,2014,4.5,-2,0
40,2015,4.2,-1,0
40,2016,4.9,-1,0
40,2017,4.2,-2,0
40,2018,3.4,-1,0
40,2019,3.1,-1,0
41,2011,9.5,1,0
41,2012,8.8,1,0
41,2013,7.7,3,0
41,2014,6.8,1,1
41,2015,5.7,2,1
41,2016,4.9,2,1
41,2017,4.1,1,1
41,2018,4.2,2,1
41,2019,3.7,4,1
42,2011,7.9,-1,0
42,2012,7.9,-2,0
42,2013,7.4,-2,0
42,2014,5.9,-2,0
42,2015,5.1,-1,1
42,2016,5.4,-1,1
42,2017,4.9,-2,1
42,2018,4.3,-1,1
42,2019,4.5,-3,1
44,2011,11.3,-2,0
44,2012,10.3,-2,0
44,2013,9.5,-2,0
44,2014,7.7,-1,1
44,2015,6,0,1
44,2016,5.3,0,1
44,2017,4.4,1,1
44,2018,4.1,-1,1
44,2019,3.6,-1,1
45,2011,4.7,-4,0
45,2012,4.2,-4,0
45,2013,3.8,-4,0
45,2014,6.4,-4,0
45,2015,6,-3,0
45,2016,2.8,-3,0
45,2017,3.2,-4,0
45,2018,3,-5,0
45,2019,2.8,-5,0
46,2011,10.3,-1,0
46,2012,9,-3,0
46,2013,7.6,-3,0
46,2014,3.4,-3,0
46,2015,3.1,-2,0
46,2016,4.8,-2,0
46,2017,4.3,-3,0
46,2018,3.4,-2,0
46,2019,2.8,-2,0
47,2011,9.2,-2,0
47,2012,8.2,-3,0
47,2013,8.2,-3,0
47,2014,6.5,-3,0
47,2015,5.8,-2,0
47,2016,4.8,-2,0
47,2017,3.8,-3,0
47,2018,3.5,-3,0
47,2019,3.4,-3,0
48,2011,7.9,-1,0
48,2012,6.8,-1,0
48,2013,6.3,-1,0
48,2014,5.1,-2,0
48,2015,4.5,-1,0
48,2016,4.6,-2,0
48,2017,4.3,-3,0
48,2018,3.9,-3,0
48,2019,3.5,-3,0
49,2011,6.7,-1,0
49,2012,5.4,-1,0
49,2013,4.4,-3,0
49,2014,3.8,-3,0
49,2015,3.5,-2,0
49,2016,3.4,-2,0
49,2017,3.3,-3,0
49,2018,3.1,-2,0
49,2019,2.6,-2,0
50,2011,5.6,-1,0
50,2012,4.9,-2,0
50,2013,4.4,-1,0
50,2014,4,0,1
50,2015,3.7,1,1
50,2016,3.3,1,1
50,2017,3,0,1
50,2018,2.7,1,1
50,2019,2.3,1,1
51,2011,6.2,0,0
51,2012,5.9,-1,0
51,2013,5.5,-1,0
51,2014,5.2,-1,0
51,2015,4.4,0,0
51,2016,4,0,0
51,2017,3.7,-1,0
51,2018,3,-2,0
51,2019,2.8,-2,1
53,2011,9.2,1,0
53,2012,8.1,1,0
53,2013,7,1,0
53,2014,6.1,1,1
53,2015,5.7,2,1
53,2016,5.4,2,1
53,2017,4.7,1,1
53,2018,4.5,0,1
53,2019,4.3,1,1
54,2011,8,-2,0
54,2012,7.2,-4,0
54,2013,6.5,-4,0
54,2014,6.6,-4,1
54,2015,6.7,-3,1
54,2016,6,-3,1
54,2017,5.2,-4,1
54,2018,5.3,-3,1
54,2019,4.9,-3,1
55,2011,7.5,-2,0
55,2012,6.9,-2,0
55,2013,6.7,-3,0
55,2014,5.4,-3,0
55,2015,4.6,-2,0
55,2016,4.1,-2,0
55,2017,3.3,-3,0
55,2018,3,-2,0
55,2019,3.2,-2,0
56,2011,6,-4,0
56,2012,5.4,-4,0
56,2013,4.6,-4,0
56,2014,4.1,-4,0
56,2015,4.2,-3,0
56,2016,5.3,-3,0
56,2017,4.2,-4,0
56,2018,4.1,-3,0
56,2019,3.7,-3,0
